CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
05080890;La Garonne à Bourdelles;800;2016-08-22;10;Diatomées benthiques;2018-05-09;00:00:00;8060;Nombre de taxons contributifs de l'IBD;26.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.1;1600156;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2017-08-01;10;Diatomées benthiques;2018-05-09;00:00:00;5856;Indice Biologique Diatomées (IBD);13.4;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.1;1703843;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2017-08-01;10;Diatomées benthiques;2018-05-09;00:00:00;8059;Nombre d'unités diatomiques contributives;319.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.1;1703843;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2017-08-01;10;Diatomées benthiques;2018-05-09;00:00:00;8060;Nombre de taxons contributifs de l'IBD;35.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.1;1703843;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2018-07-31;10;Diatomées benthiques;2019-05-15;00:00:00;5856;Indice Biologique Diatomées (IBD);8.3;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1777897;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2018-07-31;10;Diatomées benthiques;2019-05-15;00:00:00;8059;Nombre d'unités diatomiques contributives;389.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1777897;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2018-07-31;10;Diatomées benthiques;2019-05-15;00:00:00;8060;Nombre de taxons contributifs de l'IBD;20.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1777897;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2019-09-13;10;Diatomées benthiques;2020-04-02;00:00:00;5856;Indice Biologique Diatomées (IBD);13.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1841307;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2019-09-13;10;Diatomées benthiques;2020-04-02;00:00:00;8059;Nombre d'unités diatomiques contributives;398.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1841307;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;800;2019-09-13;10;Diatomées benthiques;2020-04-02;00:00:00;8060;Nombre de taxons contributifs de l'IBD;45.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBD_v1.1.2;1841307;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2016-10-01;27;Macrophytes;2017-09-07;00:00:00;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.23;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMRprof_BE;1635934;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2017-08-30;27;Macrophytes;2018-04-13;00:00:00;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.31;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.2;1704620;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2017-08-30;27;Macrophytes;2018-04-13;00:00:00;7974;Nombre de taxons contributifs de l'IBMR;15.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.2;1704620;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2017-08-30;27;Macrophytes;2018-04-13;00:00:00;8063;Note IBMR robuste;7.49;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.2;1704620;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2018-08-22;27;Macrophytes;2019-05-15;00:00:00;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.77;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1778904;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2018-08-22;27;Macrophytes;2019-05-15;00:00:00;7974;Nombre de taxons contributifs de l'IBMR;5.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1778904;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2018-08-22;27;Macrophytes;2019-05-15;00:00:00;8063;Note IBMR robuste;8.33;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1778904;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2019-10-10;27;Macrophytes;2020-04-02;00:00:00;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.38;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1842273;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2019-10-10;27;Macrophytes;2020-04-02;00:00:00;7974;Nombre de taxons contributifs de l'IBMR;16.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1842273;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;900;2019-10-10;27;Macrophytes;2020-04-02;00:00:00;8063;Note IBMR robuste;7.3;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IBMR_v1.1.4;1842273;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2017-06-15;00:00:00;7036;Indice Poisson Rivière (IPR);8.92;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;AFB_IPR_AG_2016;1400192;18006801702264;OFFICE NATIONAL DE L EAU ET DES MILIEUX AQUATIQUES - DELEGATION INTERREGIONALE AQUITAINE MIDI PYRENEES (ONEMA);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7036;Indice Poisson Rivière (IPR);8.91687010722993;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7644;Score de la métrique nombre total d’espèces (NTE);1.76618539049949;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7743;Score de la métrique nombre d'espèces lithophiles (NEL);2.0368916282443;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7744;Score de la métrique nombre d'espèces rhéophiles (NER);3.18711362602807;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7745;Score de la métrique densité d'individus invertivores (DII);0.0303423618194969;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7746;Score de la métrique densité d'individus omnivores (DIO);0.29103887998196;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7786;Score de la métrique densité d'individus tolérants (DIT);1.00445543625798;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2016-10-18;4;Poissons;2020-12-08;;7787;Score de la métrique densité totale d'individus (DTI);0.600842784398642;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2018-03-12;00:00:00;7036;Indice Poisson Rivière (IPR);13.41;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;AFB_IPR_AG_2017;1676707;13002276700078;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE OCCITANIE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7036;Indice Poisson Rivière (IPR);13.4057571761597;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7644;Score de la métrique nombre total d’espèces (NTE);7.39506819290261;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7743;Score de la métrique nombre d'espèces lithophiles (NEL);2.10673274507976;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7744;Score de la métrique nombre d'espèces rhéophiles (NER);3.18582458479946;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7745;Score de la métrique densité d'individus invertivores (DII);0.0330385075729995;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7746;Score de la métrique densité d'individus omnivores (DIO);0.0739049177742149;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7786;Score de la métrique densité d'individus tolérants (DIT);0.369889289562743;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2017-09-20;4;Poissons;2020-04-07;;7787;Score de la métrique densité totale d'individus (DTI);0.24129893846792;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.3;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7036;Indice Poisson Rivière (IPR);13.9567223722848;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7644;Score de la métrique nombre total d’espèces (NTE);6.8129066494195;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7743;Score de la métrique nombre d'espèces lithophiles (NEL);1.99216605046134;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7744;Score de la métrique nombre d'espèces rhéophiles (NER);3.15502548001361;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7745;Score de la métrique densité d'individus invertivores (DII);0.117760609072123;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
05081000;La Garonne à Couthures;500;2018-09-20;4;Poissons;2019-05-08;;7746;Score de la métrique densité d'individus omnivores (DIO);0.0473581305512159;X;X;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;IPR_v1.0.2;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB);0;Inconnu
